norm_composition,raw_composition,starting_material
Li1.0,Li2,Y
Si1.0,Si46,Y
Br0.75Si0.25,Br12Si4,Y
Br0.8Si0.2,Br32Si8,Y
Cl0.5Li0.5,Cl4Li4,Y
Cl0.75P0.25,Cl12P4,Y
Cl0.8Si0.2,Cl16Si4,Y
Br0.5Li0.5,Br4Li4,Y
Br0.75P0.25,Br12P4,Y
Al0.4O0.6,Al12O18,Y
Al0.4S0.6,Al12S18,Y
Al0.25Br0.75,Al4Br12,Y
B1.0,B12,Y
B0.25Br0.75,B2Br6,Y
B0.25Cl0.75,B2Cl6,Y
B0.4O0.6,B6O9,Y
B0.4S0.6,B200S300,Y
Br0.4O0.6,Br16O24,Y
Br0.25F0.75,Br4F12,Y
Ca0.5Br0.5,Ca1Br1,Y
Li0.5Br0.5,Li1Br1,Y
Li0.5Cl0.5,Li1Cl1,Y
Li0.6666666666666666O0.3333333333333333,Li8O4,Y
Li0.6666666666666666S0.3333333333333333,Li8S4,Y
Zr0.33333333333O0.666666666667,ZrO2,Y
Cl1.0,Cl8,N
Al1.0,Al4,N
Ca1.0,Ca4,N
Br1.0,Br8,N
P0.6666666666666666Si0.3333333333333333,P8Si4,N
Br0.875P0.125,Br28P4,N
Li0.7894736842105263Si0.21052631578947367,Li60Si16,N
Li0.75P0.25,Li6P2,N
Cl0.8333333333333334P0.16666666666666666,Cl20P4,N
Li0.5555555555555556P0.3333333333333333Si0.1111111111111111,Li20P12Si4,N
Li0.23076923076923078P0.5384615384615384Si0.23076923076923078,Li6P14Si6,N
P1.0,P42,N
Br0.6666666666666666Si0.3333333333333333,Br48Si24,N
Br0.5Cl0.5,Br4Cl4,N
Li0.8095238095238095Si0.19047619047619047,Li340Si80,N
Li0.631578947368421Si0.3684210526315789,Li96Si56,N
Li0.4P0.4Si0.2,Li64P64Si32,N
Cl0.7272727272727273Si0.2727272727272727,Cl128Si48,N
Li0.5P0.5,Li8P8,N
Li0.3P0.7,Li12P28,N
Li0.8148148148148148Si0.18518518518518517,Li352Si80,N
Li0.6666666666666666Si0.3333333333333333,Li8Si4,N
Li0.7777777777777778Si0.2222222222222222,Li28Si8,N
Li0.7647058823529411Si0.23529411764705882,Li26Si8,N
P0.5Si0.5,P4Si4,N
Br0.8333333333333334P0.16666666666666666,Br20P4,N
Li0.16666666666666666P0.8333333333333334,Li4P20,N
Li0.8076923076923077Si0.19230769230769232,Li336Si80,N
Li0.5Si0.5,Li16Si16,N
Br0.05555555555555555Cl0.7777777777777778P0.16666666666666666,Br2Cl28P6,N
Br0.5P0.5,Br2P2,N
Li0.125P0.875,Li16P112,N
Cl0.6666666666666666Si0.3333333333333333,Cl8Si4,N
Li0.7Si0.3,Li42Si18,N
Al0.11764705882352941O0.7058823529411765S0.17647058823529413,Al12O72S18,N
Al0.3333333333333333O0.6666666666666666,Al2O4,N
Al0.1Li0.5O0.4,Al2Li10O8,N
Al0.75Li0.25,Al3Li1,N
Al0.08333333333333333O0.75S0.16666666666666666,Al3O27S6,N
Al0.25Li0.25O0.5,Al4Li4O8,N
Al0.25O0.75,Al4O12,N
Al0.2Br0.1Li0.1O0.6,Al4Br2Li2O12,N
Al0.5O0.5,Al4O4,N
Al0.08333333333333333O0.8333333333333334S0.08333333333333333,Al4O40S4,N
Al0.06666666666666667O0.8S0.13333333333333333,Al4O48S8,N
Al0.35714285714285715Li0.07142857142857142O0.5714285714285714,Al20Li4O32,N
Al0.4Li0.6,Al6Li9,N
Al0.3076923076923077Li0.6923076923076923,Al8Li18,N
Al0.5Li0.5,Al8Li8,N
Al0.6666666666666666O0.3333333333333333,Al8O4,N
Al0.16666666666666666Br0.6666666666666666Li0.16666666666666666,Al4Br16Li4,N
Al0.3333333333333333Br0.3333333333333333O0.3333333333333333,Al4Br4O4,N
Al0.1Li0.5S0.4,Al2Li10S8,N
B0.34375Li0.09375O0.5625,B44Li12O72,N
B0.5Br0.5,B18Br18,N
B0.5Cl0.5,B18Cl18,N
B0.18181818181818182Li0.36363636363636365O0.45454545454545453,B16Li32O40,N
B0.05405405405405406O0.6756756756756757S0.16216216216216217Zn0.10810810810810811,B2O25S6Zn4,N
B0.15384615384615385O0.6923076923076923S0.15384615384615385,B4O18S4,N
B0.3333333333333333Li0.1111111111111111O0.5555555555555556,B12Li4O20,N
B0.3076923076923077Li0.15384615384615385O0.5384615384615384,B32Li16O56,N
B0.16Li0.24O0.48Zn0.12,B8Li12O24Zn6,N
B0.3333333333333333Cl0.6666666666666666,B8Cl16,N
B0.14285714285714285Li0.42857142857142855S0.42857142857142855,B4Li12S12,N
B0.25Li0.25O0.5,B4Li4O8,N
Br0.5O0.5,Br1O1,N
Br0.25O0.75,Br2O6,N
Br0.2O0.8,Br4O16,N
Br0.3333333333333333O0.6666666666666666,Br4O8,N
Al0.2Br0.6S0.2,Al2Br6S2,N
Br0.3Li0.5O0.2,Br6Li10O4,N
Br0.6666666666666666O0.3333333333333333,Br8O4,N
Br0.16666666666666666F0.8333333333333334,Br4F20,N
Br0.5S0.5,Br8S8,N
Ca0.3333333333333333Br0.6666666666666666,Ca2Br4,N
Br0.6666666666666666Ca0.3333333333333333,Br4Ca2,N
Ca0.3333333333333333F0.6666666666666666,Ca4F8,N
Br0.3333333333333333Ca0.3333333333333333F0.3333333333333333,Br2Ca2F2,N
Ca0.3333333333333333Li0.6666666666666666,Ca8Li16,N
Cl0.5O0.5,Cl1O1,N
Cl0.6666666666666666O0.3333333333333333,Cl8O4,N
Cl0.25O0.75,Cl2O6,N
Cl0.2222222222222222O0.7777777777777778,Cl4O14,N
Cl0.6666666666666666S0.3333333333333333,Cl16S8,N
Cl0.75I0.25,Cl6I2,N
Cl0.16666666666666666O0.8333333333333334,Cl4O20,N
Cl0.14285714285714285O0.8571428571428571,Cl4O24,N
Cl0.8S0.2,Cl128S32,N
Cl0.3333333333333333O0.6666666666666666,Cl8O16,N
Cl0.5I0.5,Cl8I8,N
Cl0.5S0.5,Cl32S32,N
F1.0,F4,N
F0.6666666666666666O0.3333333333333333,F8O4,N
F0.8333333333333334P0.16666666666666666,F10P2,N
I1.0,I2,N
Li0.19607843137254902B0.27450980392156865Cl0.0392156862745098O0.49019607843137253,Li10B14Cl2O25,N
Li0.5555555555555556Cl0.3333333333333333O0.1111111111111111,Li10Cl6O2,N
Li0.43478260869565216O0.391304347826087Zn0.17391304347826086,Li20O18Zn8,N
Li0.3076923076923077Zr0.07692307692307693F0.6153846153846154,Li16Zr4F32,N
Li0.6071428571428571Cl0.17857142857142858O0.21428571428571427,Li17Cl5O6,N
Li0.7777777777777778Sn0.2222222222222222,Li28Sn8,N
Li0.25B0.25Br0.5,Li1B1Br2,N
Li0.8148148148148148Sn0.18518518518518517,Li352Sn80,N
B0.2222222222222222Li0.2222222222222222S0.5555555555555556,B8Li8S20,N
Li0.5Br0.25O0.25,Li2Br1O1,N
Li0.3333333333333333Br0.3333333333333333O0.3333333333333333,Li2Br2O2,N
Li0.1111111111111111Cl0.1111111111111111O0.7777777777777778,Li2Cl2O14,N
Li0.14285714285714285Cl0.2857142857142857O0.5714285714285714,Li2Cl4O8,N
Li0.18181818181818182O0.6363636363636364S0.18181818181818182,Li8O28S8,N
Li0.08695652173913043O0.6956521739130435S0.21739130434782608,Li8O64S20,N
Li0.2222222222222222O0.5555555555555556Si0.2222222222222222,Li4O10Si4,N
Li0.16666666666666666Si0.25O0.5833333333333334,Li8Si12O28,N
Li0.3333333333333333O0.5Si0.16666666666666666,Li4O6Si2,N
Li0.3333333333333333S0.5Si0.16666666666666666,Li8S12Si4,N
Li0.3333333333333333S0.5Sn0.16666666666666666,Li16S24Sn8,N
Li0.25S0.5Sn0.125Zn0.125,Li4S8Sn2Zn2,N
Li0.2857142857142857O0.5714285714285714S0.14285714285714285,Li8O16S4,N
Li0.42857142857142855Zn0.5714285714285714,Li9Zn12,N
Cl0.5714285714285714Li0.2857142857142857Zn0.14285714285714285,Cl32Li16Zn8,N
Li0.5Zr0.25Al0.25,Li2Zr1Al1,N
Al0.25Li0.5Zr0.25,Al1Li2Zr1,N
Li0.2222222222222222Zr0.1111111111111111F0.6666666666666666,Li2Zr1F6,N
B0.3181818181818182Li0.13636363636363635O0.5454545454545454,B14Li6O24,N
B0.14285714285714285Li0.42857142857142855O0.42857142857142855,B4Li12O12,N
Li0.6Br0.2O0.2,Li3Br1O1,N
Li0.6Cl0.2O0.2,Li3Cl1O1,N
Br0.2Li0.6O0.2,Br1Li3O1,N
Cl0.2Li0.6O0.2,Cl1Li3O1,N
Li0.375O0.5P0.125,Li6O8P2,N
Li0.3333333333333333Sn0.4444444444444444Zn0.2222222222222222,Li6Sn8Zn4,N
Li0.75Zr0.25,Li3Zr1,N
Li0.6666666666666666Ca0.3333333333333333,Li4Ca2,N
Li0.16666666666666666Cl0.16666666666666666O0.6666666666666666,Li4Cl4O16,N
Li0.25Cl0.25O0.5,Li4Cl4O8,N
Li0.3076923076923077O0.5384615384615384P0.15384615384615385,Li16O28P8,N
Li0.4444444444444444O0.4444444444444444Si0.1111111111111111,Li56O56Si14,N
Li0.4444444444444444S0.4444444444444444Sn0.1111111111111111,Li16S16Sn4,N
B0.4444444444444444Li0.5555555555555556,B12Li15,N
B0.45454545454545453Li0.5454545454545454,B5Li6,N
Li0.5Br0.3O0.2,Li5Br3O2,N
Cl0.3333333333333333Li0.5555555555555556O0.1111111111111111,Cl6Li10O2,N
Li0.7142857142857143Sn0.2857142857142857,Li15Sn6,N
Li0.4O0.4666666666666667Si0.13333333333333333,Li12O14Si4,N
Li0.5454545454545454O0.36363636363636365Zn0.09090909090909091,Li12O8Zn2,N
Li0.11538461538461539Zr0.15384615384615385F0.7307692307692307,Li6Zr8F38,N
Li0.5833333333333334Br0.25O0.16666666666666666,Li7Br3O2,N
Br0.25Li0.5833333333333334O0.16666666666666666,Br3Li7O2,N
Li0.16666666666666666B0.2916666666666667Cl0.041666666666666664O0.5,Li8B14Cl2O24,N
B0.4666666666666667Li0.5333333333333333,B7Li8,N
Li0.2Br0.2O0.6,Li8Br8O24,N
Li0.5333333333333333O0.4Si0.06666666666666667,Li16O12Si2,N
B0.5Li0.5,B2Li2,N
